number,person,from,to
16,"Cunningham, LL",26.6.1931,6.1.1932
16,"Beasley, JA",22.10.1929,3.3.1931
16,"Holloway, EJ",3.3.1931,12.6.1931
16,"Barnes, Senator J",22.10.1929,3.3.1931
16,"Dooley, Senator JB",3.3.1931,6.1.1932
17,"Lyons, JA",6.1.1932,29.11.1937
17,"Casey, RG",3.10.1935,12.10.1934
17,"Latham, JG",6.1.1932,12.10.1934
17,"Menzies, RG",12.10.1934,7.11.1938
17,"Pearce, Senator GF",12.10.1934,12.10.1934
17,"Hughes, WM",29.11.1937,29.11.1937
17,"Parkhill, RA",12.10.1934,13.10.1932
17,"Thorby, HVC (CP)",29.11.1937,1.9.1935
17,"Gullett, HS",6.1.1932,11.3.1937
17,"White, TW",14.1.1933,7.11.1938
17,"Fenton, JE",6.1.1932,13.10.1932
17,"McLachlan, Senator AJ",12.10.1934,29.11.1937
17,"Marr, CWC",6.1.1932,31.12.1934
17,"Perkins, JA",13.10.1932,7.11.1938
17,"Harrison, EJ",12.10.1934,9.11.1934
17,"Paterson, T (CP)",9.11.1934,29.11.1937
17,"McEwen, J (CP)",29.11.1937,7.11.1938
17,"Hawker, CAS",6.1.1932,12.4.1932
17,"Stewart, FH",13.10.1932,9.11.1934
17,"Page, ECG (CP)",9.11.1934,7.11.1938
17,"Foll, Senator HS",29.11.1937,7.11.1938
17,"Lawson, Senator HSW",24.5.1934,12.10.1934
17,"Francis, J",6.1.1932,9.11.1934
17,"Hunter, JAJ (CP)",11.9.1936,29.11.1937
17,"Bruce, SM",23.6.1932,29.6.1932
17,"Massy-Greene, W",6.1.1932,25.9.1933
17,"Thompson, VC (CP)",29.11.1937,7.11.1938
17,"Brennan, Senator TC",9.11.1934,29.11.1937
17,"Guy, JA",13.10.1932,12.10.1934
17,"MacDonald, Senator AN ",29.11.1937,7.11.1938
17,"Cameron, AG (CP)",6.1.1932,7.11.1938
17,"Massy-Greene, Senator ",6.1.1932,23.6.1932
18,"Lyons, JA",7.11.1938,7.4.1939
18,"Page, ECG (CP)",7.11.1938,7.4.1939
18,"Menzies, RG",7.11.1938,20.3.1939
18,"Hughes, WM",20.3.1939,7.4.1939
18,"Casey, RG",7.11.1938,7.4.1939
18,"White, TW",7.11.1938,8.11.1938
18,"Perkins, JA",8.11.1938,8.11.1938
18,"Thorby, HVC (CP)",7.11.1938,7.4.1939
18,"Street, GA",7.11.1938,7.4.1939
18,"McEwen, J (CP)",7.11.1938,7.4.1939
18,"McLeay, Senator G",7.11.1938,7.4.1939
18,"Foll, Senator HS",7.11.1938,7.4.1939
18,"Cameron, AG (CP)",7.11.1938,7.4.1939
18,"Harrison, EJ",8.11.1938,7.4.1939
18,"Thompson, VC (CP)",7.11.1938,7.4.1939
18,"MacDonald, Senator AN",7.11.1938,7.4.1939
19,"Page, ECG (CP)",7.4.1939,26.4.1939
19,"Hughes, WM",7.4.1939,26.4.1939
19,"Casey, RG",7.4.1939,26.4.1939
19,"Thorby, HVC (CP)",7.4.1939,26.4.1939
19,"Perkins, JA",7.4.1939,26.4.1939
19,"Street, GA",7.4.1939,26.4.1939
19,"McEwen, J (CP)",7.4.1939,26.4.1939
19,"McLeay, Senator G",7.4.1939,26.4.1939
19,"Foll, Senator HS",7.4.1939,26.4.1939
19,"Cameron, AG (CP)",7.4.1939,26.4.1939
19,"Harrison, EJ",7.4.1939,26.4.1939
19,"Thompson, VC (CP)",7.4.1939,26.4.1939
19,"MacDonald, Senator AN",7.4.1939,26.4.1939
20,"Menzies, RG",26.4.1939,14.3.1940
20,"Hughes, WM",26.4.1939,14.3.1940
20,"Casey, RG",26.4.1939,26.1.1940
20,"Stewart, FH",26.1.1940,14.3.1940
20,"Street, GA",26.4.1939,14.3.1940
20,"Gullett, HS",26.4.1939,14.3.1940
20,"McLeay, Senator G",26.4.1939,14.3.1940
20,"Foll, Senator HS",26.4.1939,14.3.1940
20,"Harrison, EJ",26.4.1939,14.3.1940
20,"Lawson, JN",26.4.1939,23.2.1940
20,"Fairbairn, JV",13.11.1939 ,26.1.1940
20,"Fairbairn, JV ",26.4.1939,14.3.1940
20,"Spender, PC",26.1.1940,3.11.1939
20,"Perkins, JA",26.4.1939,14.3.1940
20,"Collett, Senator HB",26.4.1939,14.3.1940
20,"Holt, HE",26.4.1939,14.3.1940
20,"McBride, Senator PAM",26.4.1939,14.3.1940
21,"Menzies, RG",14.3.1940,28.10.1940
21,"Cameron, AG (CP)",14.3.1940,28.10.1940
21,"Hughes, WM",14.3.1940,28.10.1940
21,"Street, GA",14.3.1940,13.8.1940
21,"McBride, Senator PAM",14.8.1940,28.10.1940
21,"Gullett, HS",14.3.1940,13.8.1940
21,"Collett, Senator HB",14.8.1940,13.8.1940
21,"Stewart, FH",14.3.1940,28.10.1940
21,"Thorby, HVC (CP)",14.3.1940,28.10.1940
21,"Spender, PC",14.3.1940,28.10.1940
21,"McLeay, Senator G",14.3.1940,28.10.1940
21,"McEwen, J (CP)",14.3.1940,28.10.1940
21,"Foll, Senator HS",14.3.1940,28.10.1940
21,"Fairbairn, JV",14.3.1940,13.8.1940
21,"Fadden, AW (CP)",14.8.1940,14.8.1940 
21,"Nock, HK (CP)",14.3.1940,28.10.1940
22,"Menzies, RG",28.10.1940,13.12.1940
22,"Foll, Senator HS",13.12.1940,29.8.1941
22,"Fadden, AW (CP)",28.10.1940,29.8.1941
22,"Hughes, WM",28.10.1940,29.8.1941
22,"Spender, PC",28.10.1940,29.8.1941
22,"McLeay, Senator G",28.10.1940,29.8.1941
22,"Collett, Senator HB",26.6.1941,26.6.1941
22,"Collins, TJ (CP)",28.10.1940,29.8.1941
22,"McEwen, J (CP)",26.6.1941,29.8.1941
22,"Page, ECG (CP) ",28.10.1940,29.8.1941
22,"Stewart, FH",28.10.1940,29.8.1941
22,"McBride, Senator PAM",28.10.1940,26.6.1941
22,"Harrison, EJ",28.10.1940,29.8.1941
22,"Holt, HE",28.10.1940,29.8.1941
22,"Leckie, Senator JW",26.6.1941,26.6.1941
22,"Anthony, HL (CP)",26.6.1941,26.6.1941
22,"Spooner, ES",26.6.1941,29.8.1941
22,"Abbott, JP (CP)",26.6.1941,29.8.1941
22,"McDonald, AMcK",26.6.1941,29.8.1941
23,"Fadden, AW (CP)",29.8.1941,7.10.1941
