number,cabinet,cabinet_party,cabinet_from,cabinet_to,person,from,to
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Glasgow, Senator TW",18.6.1926,22.10.1929
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Marr, CWC",2.4.1927,22.10.1929
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Howse, NR",24.2.1928,24.2.1928
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Abbott, CLA (CP)",29.11.1928,22.10.1929
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Groom, LE",9.2.1923,13.6.1924
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Latham, JG",18.12.1925,22.10.1929
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Gibson, WG (CP)",9.2.1923,22.10.1929
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Chapman, A",9.2.1923,26.5.1924
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Pratten, HE",13.6.1924,16.1.1925
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Gullett, HS",24.11.1928,22.10.1929
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Stewart, PG (CP)",9.2.1923,5.8.1924
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Hill, WC (CP)",8.8.1924,29.11.1928
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Bowden, EK",9.2.1923,16.1.1925
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Wilson, Senator RV",16.1.1925,16.1.1925
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Paterson, T (CP)",18.6.1926,22.10.1929
