number,ministry,ministry_party,ministry_from,ministry_to,level,job,person,job_from,job_to,comment,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister for Home Affairs,"Groom, LE",5.7.1905,12.10.1906,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister for Home Affairs,"Ewing, TT",12.10.1906,24.1.1907,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister for Home Affairs,"Keating, Senator JH",24.1.1907,13.11.1908,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Vice-President of Executive Council,"Ewing, TT",5.7.1905,12.10.1906,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Vice-President of Executive Council,"Keating, Senator JH",12.10.1906,20.2.1907,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Vice-President of Executive Council,"Best, Senator RW",20.2.1907,13.11.1908,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister (without portfolio),"Keating, Senator JH",5.7.1905,12.10.1906,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister (without portfolio),"Mauger, S",12.10.1906,30.7.1907,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister (without portfolio),"Cook, JNHH",28.1.1908,13.11.1908,,,
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,Minister,Prime Minister,"Fisher, A",13.11.1908,2.6.1909,,,
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,Minister,Treasurer,"Fisher, A",13.11.1908,2.6.1909,,,
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,Minister,Attorney-General,"Hughes, WM",13.11.1908,2.6.1909,,,
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,Minister,Minister for External Affairs ,"Batchelor, EL",13.11.1908,2.6.1909,,,
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,Minister,Minister for Home Affairs,"Mahon, H",13.11.1908,2.6.1909,,,
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,Minister,Postmaster-General,"Thomas, J",13.11.1908,2.6.1909,,,
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,Minister,Minister for Defence,"Pearce, Senator GF",13.11.1908,2.6.1909,,,
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,Minister,Minister for Trade and Customs ,"Tudor, FG",13.11.1908,2.6.1909,,,
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,Minister,Vice-President of Executive Council,"McGregor, Senator G",13.11.1908,2.6.1909,,,
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,Minister,Minister (without portfolio),"Hutchison, J",13.11.1908,2.6.1909,,,
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,Minister,Prime Minister (without portfolio),"Deakin, A (PROT)",2.6.1909,29.4.1910,,,
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,Minister,Minister for Defence,"Cook, J (FT)",2.6.1909,29.4.1910,,,
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,Minister,Treasurer,"Forrest, J (PROT)",2.6.1909,29.4.1910,,,
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,Minister,Minister for Trade and Customs ,"Best, Senator RW (PROT)",2.6.1909,29.4.1910,,,
