number,ministry,ministry_party,ministry_from,ministry_to,level,job,person,job_from,job_to,comment,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Housing and Construction,"West, SJ",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Defence,"Beazley, KC",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Immigration and Ethnic Affairs,"Hurford, CJ",13.12.1984,16.2.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Immigration and Ethnic Affairs,"Young, MJ",16.2.1987,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Social Security,"Howe, BL",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Transport,"Morris, PF",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Aviation,"Morris, PF",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,"Minister for Sport, Recreation and Tourism","Brown, JJ",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Health,"Blewett, N",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Science,"Jones, BO",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Territories,"Scholes, GGD",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Communications ,"Duffy, MJ",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,"Minister for Arts, Heritage and the Environment","Cohen, B",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Aboriginal Affairs ,"Holding, AC",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Veterans' Affairs ,"Gietzelt, Senator AT",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Minister,Minister for Local Government and Administrative Services,"Uren, T",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Commonwealth-State Relations,"Bowen, LF",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Public Service Matters,"Walsh, Senator PA",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Public Service Industrial Matters,"Willis, R",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for the Status of Women,"Ryan, Senator SM",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Prime Minister,"Evans, Senator GJ",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for the Bicentennial,"Cohen, B",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Youth Affairs,"Dawkins, JS",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,"Minister Assisting the Minister for Industry, Technology and Commerce","Jones, BO",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Treasurer,"Hurford, CJ",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Minister for Foreign Affairs,"Evans, Senator GJ",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Minister for Defence,"Brown, JJ",13.12.1984,24.7.1987,,,
49,Hawke Ministry ,ALP,13.12.1984,24.7.1987,Assistant ministers/Parliamentary secretaries,Minister Assisting the Minister for Defence,"Duffy, MJ",13.12.1984,24.7.1987,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Prime Minister,"Hawke, RJL",24.7.1987,4.4.1990,"On 24.7.1987, the third Hawke Ministry implemented a two-level ministerial structure, with distinctions drawn between senior and junior ministers. This arrangement has been continued by subsequent ministries.",,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Deputy Prime Minister,"Bowen, LF",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Attorney-General,"Bowen, LF",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,"Minister for Industry, Technology and Commerce","Button, Senator JN",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Transport and Communications,"Evans, Senator GJ",24.7.1987,2.9.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Transport and Communications,"Willis, R",2.9.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Treasurer,"Keating, PJ",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,"Minister for Immigration, Local Government",Young MJ,24.7.1987,12.2.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,"Minister for Immigration, Local Government","Holding, AC",15.2.1988,2.9.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,"Minister for Immigration, Local Government","Ray, Senator RF",2.9.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Vice-President of Executive Council,Young MJ,24.7.1987,12.2.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Vice-President of Executive Council,"Beazley, KC",15.2.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Finance,"Walsh, Senator PA",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Foreign Affairs and Trade,"Hayden, WG",24.7.1987,17.8.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Foreign Affairs and Trade,"Evans, Senator GJ",2.9.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Industrial Relations,"Willis, R",24.7.1987,2.9.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Industrial Relations,"Morris, PF",2.9.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,"Minister for Employment, Education and Training","Dawkins, JS",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Defence,"Beazley, KC",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Primary Industries and Energy,"Kerin, JC",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Social Security,"Howe, BL",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Administrative Services,"West, SJ",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,"Minister for the Arts, Sport, the Environment, Tourism and Territories","Brown, JJ",24.7.1987,18.12.1987,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,"Minister for the Arts, Sport, the Environment, Tourism and Territories","Richardson, Senator GF",19.1.1988 ,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Minister,Minister for Community Services and Health,"Blewett, N",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Special Minister of State,"Ryan, Senator SM",24.7.1987,19.1.1988 ,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister,"Morris, PF",19.1.1988,2.9.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister,"Holding, AC",2.9.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Commonwealth-State Relations,"Bowen, LF",24.7.1987,24.3.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Science and Technology,"Jones, BO",8.5.1989,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for the Status of Women,"Ryan, Senator SM",24.7.1987,19.1.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for the Status of Women,"Reynolds, Senator M",19.1.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Social Justice,"Howe, BL",2.9.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Multicultural Affairs,"Young, MJ",24.7.1987,12.2.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Multicultural Affairs,"Holding, AC",15.2.1988,2.9.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Multicultural Affairs,"Ray, Senator RF",2.9.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Public Service Matters,"Willis, R ",24.7.1987,2.9.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Public Service Matters,"Morris, PF",2.9.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for the Bicentennial,"Ryan, Senator SM",24.7.1987,19.1.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Minister for Community Services and Health,"Ryan, Senator SM",24.7.1987,19.1.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Consumer Affairs,"Staples, PR",24.7.1987,15.2.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Consumer Affairs,"Bolkus, Senator N",15.2.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Parliamentary Secretary for Justice,"Tate, Senator MC",24.7.1987,18.9.1987,Temporary title prior to the amendment of the Ministers of State Act 1952. ,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Justice,"Tate, Senator MC",18.9.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Science and Small Business,"Jones, BO",24.7.1987,19.1.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,"Minister for Science, Customs and Small Business","Jones, BO",19.1.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,"Minister Assisting the Minister for Industry, Technology and Commerce","Duffy, MJ",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Land Transport and Infrastructure Support,"Duncan, P",24.7.1987,19.1.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Transport and Communication Support,"Holding, AC",19.1.1988,15.2.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Transport and Communication Support,"Morris, PF",15.2.1988,2.9.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Telecommunications and Aviation Support,"Punch, GF",2.9.1988,28.3.1989,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Telecommunications and Aviation Support,"Kelly, RJ",6.4.1989,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Land Transport and Shipping Support,"Brown, RJ ",2.9.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Minister for Transport and Communications,"Ray, Senator RF",19.1.1988,2.9.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Treasurer,"Holding, AC",24.7.1987,15.2.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Treasurer,"Morris, PF",15.2.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Treasurer for Prices,"Staples, PR",24.7.1987,15.2.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Treasurer for Prices,"Bolkus, Senator N",15.2.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Parliamentary Secretary for Local Government*,"Reynolds, Senator M",24.7.1987,18.9.1987,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Local Government,"Reynolds, Senator M",18.9.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,"Minister Assisting the Minister for Immigration, Local Government and Ethnic Affairs","Holding, AC",2.9.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Trade Negotiations,"Duffy, MJ",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Employment Services and Youth Affairs,"Holding, AC",24.7.1987,19.1.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Employment and Education Services,"Duncan, P",19.1.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Aboriginal Affairs,"Hand, GL",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Parliamentary Secretary for Defence Science and Personnel*,"Kelly, RJ",24.7.1987,18.9.1987,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Defence Science and Personnel,"Kelly, RJ",18.9.1987,6.4.1989,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Defence Science and Personnel,"Simmons, DW",6.4.1989,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Resources,"Morris, PF",24.7.1987,19.1.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Resources,"Cook, Senator PFS",19.1.1988,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister Assisting the Minister for Primary Industries and Energy,"Duffy, MJ",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Home Affairs,"Ray, Senator RF",24.7.1987,2.9.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for the Environment and the Arts,"Richardson, Senator GF",24.7.1987,19.1.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for the Arts and Territories,"Punch, GF",19.1.1988,2.9.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for the Arts and Territories,"Holding, AC",2.9.1988,22.5.1989,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,"Minister for the Arts, Tourism and Territories","Holding, AC",22.5.1989,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Veterans' Affairs,"Humphreys, BC",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Aboriginal Affairs,"Hand, GL",24.7.1987,4.4.1990,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Housing and Aged Care,"Morris, PF",19.1.1988,15.2.1988,,,
50,Hawke Ministry ,ALP,24.7.1987,4.4.1990,Other ministers/Parliamentary secretaries,Minister for Housing and Aged Care,"Staples, PR",15.2.1988,4.4.1990,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Prime Minister,"Hawke, RJL",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Deputy Prime Minister,"Keating, PJ",4.4.1990,3.6.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Deputy Prime Minister,"Howe, BL",3.6.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Treasurer,"Keating, PJ ",4.4.1990,3.6.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Treasurer,"Hawke, RJL",3.6.1991,4.6.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Treasurer,"Kerin, JC",4.6.1991,9.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Treasurer,"Willis, R",9.12.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,"Minister for Industry, Technology and Commerce","Button, Senator JN",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Foreign Affairs and Trade,"Evans, Senator GJ",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Finance,"Willis, R",4.4.1990,9.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Finance,"Beazley, KC",9.12.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Attorney-General,"Duffy, MJ",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,"Minister for Employment, Education and Training","Dawkins, JS",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Transport and Communications,"Beazley, KC",4.4.1990,9.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Transport and Communications,"Kerin, JC",9.12.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Vice-President of Executive Council,"Beazley, KC",4.4.1990,1.2.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Vice-President of Executive Council,"Richardson, Senator GF",1.2.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Primary Industries and Energy,"Kerin, JC ",4.4.1990,4.6.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Primary Industries and Energy,"Crean, SF ",4.6.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Community Services and Health,"Howe, BL",4.4.1990,7.6.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,"Minister for Health, Housing and Community Services","Howe, BL",7.6.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Social Security,"Richardson, Senator GF",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Defence,"Ray, Senator RF",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,"Minister for Immigration, Local Government and Ethnic Affairs","Hand, GL",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,"Minister for the Arts, Sport, the Environment, Tourism and Territories","Kelly, RJ",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Industrial Relations,"Cook, Senator PFS",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Minister,Minister for Administrative Services,"Bolkus, Senator N",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Commonwealth-State Relations,"Keating, PJ",4.4.1990,3.6.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Commonwealth-State Relations,"Howe, BL",4.6.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Multicultural Affairs,"Hand, GL",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Science,"Crean, SF",4.4.1990,4.6.91,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Science,"Free, RV",4.6.91,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Social Justice,"Howe, BL",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for the Status of Women,"Fatin, WF",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Public Service Matters,"Cook, Senator PFS",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Aboriginal Reconciliation,"Tickner, RE",20.2.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Prime Minister for Northern Australia,"Collins, Senator RL",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Parliamentary Secretary to the Prime Minister,"Free, RV",4.4.1990,4.6.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Parliamentary Secretary to the Prime Minister,"Price, LRS",4.6.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Treasurer,"Crean, SF",4.4.1990,4.6.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister Assisting the Treasurer,"Free, RV",4.6.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Parliamentary Secretary to the Treasurer,"McMullan, Senator RF",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Science and Technology,"Crean, SF",4.4.1990,4.6.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Science and Technology,"Free, RV",4.6.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Small Business and Customs,"Beddall, DP",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,"Minister Assisting the Minister for Industry, Technology and Commerce","Blewett, N",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Trade Negotiations,"Blewett, N",4.4.1990,1.2.1991,These offices were Cabinet portfolios.,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Trade and Overseas Development,"Blewett, N",1.2.1991,20.12.1991,These offices were Cabinet portfolios.,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Justice and Consumer Affairs,"Tate, Senator MC",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Employment and Education Services,"Baldwin, PJ",4.4.1990,7.5.1990,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Higher Education and Employment Services,"Baldwin, PJ",7.5.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Aboriginal Affairs,"Tickner, RE",4.4.1990,19.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Aboriginal and Torres Strait Islander Affairs,"Tickner, RE",19.12.1991,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Shipping,"Collins, Senator RL",4.4.1990,7.5.1990,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Shipping and Aviation Support,"Collins, Senator RL",7.5.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Minister for Land Transport,"Brown, RJ",4.4.1990,20.12.1991,,,
51,Hawke Ministry ,ALP,4.4.1990,20.12.1991,Other ministers/Parliamentary secretaries,Parliamentary Secretary to Minister for Transport and Communications ,"Snowdon, WE",4.4.1990,20.12.1991,,,
