uniqueID,senatorsState,senatorFrom,senatorTo,senatorEndReason,sec15Sel,senatorComments
Findley1864,VIC,1923-07-01,1929-06-30,Defeated,0,NA
Finlay1887,SA,1944-07-01,1953-06-30,Retired,0,NA
Fisher1962,SA,2007-06-06,2012-08-14,Resigned,1,NA
Fitzgerald1910,NSW,1962-07-01,1974-04-11,Retired,0,NA
Foll1890,QLD,1917-07-01,1947-06-30,Retired,0,NA
Foreman1933,SA,1981-07-01,1997-09-15,Resigned,0,NA
Forshaw1952,NSW,1994-05-10,2011-06-30,Retired,1,NA
Foster1884,TAS,1920-07-01,1925-06-30,Resigned,0,NA
Fraser1832,VIC,1901-03-29,1913-06-30,Retired,0,NA
Fraser1889,WA,1938-07-01,1959-06-30,Retired,0,NA
Fraser1892,VIC,1946-05-15,1946-09-27,Term Expired And Defeated,1,NA
Furner1958,QLD,2008-07-01,2014-06-30,Defeated,0,NA
Gair1901,QLD,1965-07-01,1974-04-11,Retired,0,NA
Gallacher1954,SA,2011-07-01,2021-08-29,Death,0,NA
Gallagher1970,ACT,2015-03-25,2018-05-09,Resigned,1,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Gallagher1970,ACT,2019-05-18,NA,NA,0,NA
Gardiner1867,NSW,1910-07-01,1926-06-30,Defeated,0,NA
Gardiner1867,NSW,1928-06-05,1928-11-16,Term Expired And Retired,1,NA
Garling1870,NSW,1921-12-15,1922-12-15,Defeated,1,NA
Georges1920,QLD,1968-07-01,1987-06-05,Defeated,0,NA
Georgiou1974,WA,2017-03-10,2019-06-30,NA,0,Declared elected by the High Court of Australia.
Gibbs1879,NSW,1925-04-01,1925-11-13,Retired,1,NA
Gibbs1947,QLD,1996-07-01,2002-06-30,Defeated,0,NA
Gibson1869,VIC,1935-07-01,1947-06-30,Retired,0,NA
Gibson1936,TAS,1993-07-01,2002-02-22,Resigned,0,NA
Gichuhi1962,SA,2017-04-19,2019-06-30,Defeated,0,Declared elected by the High Court of Australia.
Gietzelt1920,NSW,1971-07-01,1989-02-27,Resigned,0,NA
Giles1928,WA,1981-07-01,1993-06-30,Retired,0,NA
Givens1864,QLD,1904-01-01,1928-06-19,Died,0,NA
Glasgow1876,QLD,1920-07-01,1932-06-30,Defeated,0,NA
Glassey1844,QLD,1901-03-30,1903-12-31,Defeated,0,NA
Gorton1911,VIC,1949-12-10,1968-02-01,Resignedi,0,NA
Gould1847,NSW,1901-03-29,1917-06-30,Retired,0,NA
Graham1867,WA,1923-07-01,1929-06-30,Defeated,0,NA
Grant1857,NSW,1914-09-05,1920-06-30,Defeated,0,NA
Grant1857,NSW,1923-07-01,1928-05-19,Died,0,NA
Grant1878,TAS,1925-07-29,1925-11-13,Defeated,1,NA
Grant1878,TAS,1932-03-03,1941-06-30,Retired,1,NA
Grant1888,NSW,1944-07-01,1959-06-30,Retired,0,NA
Gray1840,NSW,1904-01-01,1910-06-30,Defeated,0,NA
Green,QLD,2019-07-01,NA,NA,0,NA
Greenwood1926,VIC,1968-02-21,1976-10-13,Died,1,NA
Greig1966,WA,1999-07-01,2005-06-30,Defeated,0,NA
Griff1957,SA,2016-07-02,NA,NA,0,NA
Grimes1937,TAS,1974-05-18,1987-04-02,Resigned,0,NA
Grogan,SA,2021-09-21,NA,NA,1,Replaced Alex Gallacher on his death.
Guilfoyle1926,VIC,1971-07-01,1987-06-05,Retired,0,NA
Guthrie1856,SA,1904-01-01,1921-01-20,Died,0,NA
Guthrie1872,VIC,1920-07-01,1938-06-30,Defeated,0,NA
Guy1860,TAS,1914-09-05,1920-06-30,Defeated,0,NA
Guy1890,TAS,1949-12-10,1956-06-30,Defeated,0,NA
Haines1945,SA,1977-12-14,1978-06-30,Term Expired,1,NA
Haines1945,SA,1981-07-01,1990-03-01,Resigned,0,NA
Hall1928,SA,1974-05-18,1977-11-16,Resigned,0,NA
Hamer1923,VIC,1978-07-01,1990-06-30,Retired,0,NA
Hannaford1903,SA,1949-12-10,1967-10-24,Died,0,NA
Hannan1873,VIC,1924-07-22,1925-11-13,Defeated,1,NA
Hannan1910,VIC,1956-08-28,1965-06-30,Defeated,1,NA
Hannan1910,VIC,1970-11-21,1974-05-18,Defeated,0,NA
Hanson1954,QLD,2016-07-02,NA,NA,1,NA
HansonYoung1981,SA,2008-07-01,NA,NA,0,NA
Hardy1898,NSW,1932-07-01,1938-06-30,Defeated,0,NA
Harney1865,WA,1901-03-29,1903-12-31,Retired,0,NA
Harradine1935,TAS,1975-12-13,2005-06-30,Retired,0,NA
Harris1890,WA,1947-07-01,1951-04-28,Defeated,0,NA
Harris1890,WA,1953-07-01,1959-06-30,Retired,0,NA
Harris1943,QLD,1999-07-02,2005-06-30,Defeated,0,Declared elected by the High Court of Australia.
Hayes1868,TAS,1923-09-12,1947-06-30,Retired,1,NA
Hays1869,TAS,1923-07-01,1947-06-30,Defeated,0,NA
Hearn1921,TAS,1980-10-15,1985-06-30,Retired,1,NA
Heatley1920,QLD,1966-04-14,1968-06-30,Defeated,1,NA
Heffernan1943,NSW,1996-09-18,2016-05-09,Retired,1,NA
Henderson1857,WA,1904-01-01,1923-06-30,Defeated,0,NA
Henderson1964,VIC,2019-09-11,NA,NA,1,NA
Hendrickson1897,VIC,1947-07-01,1971-06-30,Retired,0,NA
Henty1903,TAS,1950-07-01,1968-06-30,Retired,0,NA
Herron1932,QLD,1990-07-01,2002-09-05,Resigned,0,NA
Higgs1862,QLD,1901-03-30,1906-12-31,Defeated,0,NA
Hill1946,SA,1981-07-01,2006-03-15,Resigned,0,NA
Hill1960,QLD,NA,NA,NA,0,"Elected 1998, but disqualified 23.6.1999 under the provisions of the Commonwealth Electoral Act 1918."
Hinch1944,VIC,2016-07-02,2019-06-30,NA,0,NA
Hoare1874,SA,1922-12-16,1935-06-30,Defeated,0,NA
Hogg1949,QLD,1996-07-01,2014-06-30,Retired,0,NA
Hughes,NSW,2019-07-01,NA,NA,0,NA
Hume1971,VIC,2016-07-02,NA,NA,0,NA
Humphries1958,ACT,2003-02-18,2013-09-06,Retired,1,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Hurley1955,SA,2005-07-01,2011-06-30,Retired,0,NA
Hutchins1956,NSW,1998-10-14,2011-06-30,Defeated,1,NA
Jenkins1938,WA,1987-07-11,1990-06-30,Defeated,0,NA
